,OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSERO,OWNTYPE,MGTRESPONB,STATEROUTE,DeedyrBkPg,SID,RINNUM,SHAPE__Len,geometry,slope,slope_below5,slope_5_10,slope_10_15,slope_above15,slope_category
0,1,CAMPBELL AVE,,400,400 Blk Campbell Ave.,N TAYLOR PL,END,2,Two-way,No sidewalks adjacent to the street,32.0,32.0,60.0,NO,Local Road,NONE,CITY ST,480.739901851299,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,5,3.0,198.877833268479,"LINESTRING (-76.52114238668125 42.44912190526125, -76.52187915545844 42.45019713070435, -76.52193389091913 42.45030309018972)",0.7279565977682428,1,0,0,0,1
1,2,WESTMOUNT DR,,100,100 Blk Westmount Dr.,FALL VIEW TERR,END,2,Two-way,No sidewalks adjacent to the street,21.0,21.0,50.0,NO,Local Road,NONE,CITY ST,678.590630361532,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1955 BKPG 378-245,5,4.0,280.504961465957,"LINESTRING (-76.52039437191684 42.451671276849545, -76.52043554274593 42.451724809187624, -76.52046025958897 42.45178759378781, -76.52056434511654 42.452150900526114, -76.52058327749583 42.45220922278293, -76.52061608324254 42.452289848350134, -76.52065399318877 42.45236138735361, -76.52068890984292 42.45241491617428, -76.52076269573433 42.45250842745143, -76.52081775758664 42.452566254414684, -76.52091980312913 42.45265497884137, -76.52096608235628 42.45269496437274, -76.52100079534269 42.45272139600853, -76.52111698607189 42.45279194746021, -76.52121606105294 42.45284019469931, -76.52132139443341 42.4528838141384, -76.52143229959111 42.45291388710145, -76.52154691371707 42.45293933175692, -76.52161661662943 42.45294743051677, -76.52167196484676 42.45295123342484, -76.52172731639281 42.45295040610853, -76.52178197359224 42.45294974854774, -76.5218604773422 42.45295768082923)",0.0,1,0,0,0,1
2,3,BROOKFIELD RD,,200,200 Blk Brookfield Rd.,FALLVIEW TER,CAMPBELL AVE,2,Two-way,No sidewalks adjacent to the street,26.0,26.0,50.0,NO,Local Road,NONE,CITY ST,483.518700037362,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"1961, June BKPG Unknown",5,5.0,199.661381926347,"LINESTRING (-76.52265139414978 42.45466647092913, -76.52280243316298 42.45472651648715, -76.52332938124567 42.455013955833955, -76.52345132851775 42.45507649711381, -76.52368635101922 42.45521449024351, -76.52383033496781 42.45527948957407, -76.52388141792257 42.45529624979168, -76.52394155524391 42.45530476440975, -76.52416850043903 42.455339876088495)",0.6842840765148034,1,0,0,0,1
3,4,BROOKFIELD RD,,100,100 Blk Brookfield Rd.,CLIFF ST,FALLVIEW TERR,2,Two-way,No sidewalks adjacent to the street,26.0,26.0,50.0,NO,Local Road,NONE,CITY ST,317.119293298104,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"1961, June BKPG Unknown",5,6.0,130.83859979487,"LINESTRING (-76.52150632835283 42.45450751310574, -76.52176835834608 42.454500522928875, -76.52244531122867 42.45460851253172, -76.52265139414978 42.45466647092913)",0.8140712317889148,1,0,0,0,1
4,5,WILLIAMS GLEN RD,,100,100 Blk Williams Glenn Rd.,CLIFF ST,TOWN OF ITHACA LINE,2,Two-way,No sidewalks adjacent to the street,22.0,22.0,50.0,NO,Local Road,NONE,CITY ST,330.665026147376,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,5,9.0,136.840221243727,"LINESTRING (-76.52150632835283 42.45450751310574, -76.52139339219026 42.45455792156617, -76.52136694939496 42.45459872558162, -76.52133631540691 42.45466216604843, -76.52132143486021 42.454720984831795, -76.52130957364443 42.45477054395008, -76.52130488372109 42.45482919628807, -76.52130320980048 42.45488321915922, -76.52130313871633 42.45495525232296, -76.5213162508038 42.45504512828837, -76.52132939967126 42.45509898812106, -76.52135063192334 42.45517531999002, -76.52138505763894 42.455260405313815, -76.52142550394296 42.455345493877665)",0.20825779672129455,1,0,0,0,1
5,6,FALLVIEW TER,,200,200 Blk Fallview Terrace,WESTMOUNT DR,BROOKFIELD RD,2,Two-way,No sidewalks adjacent to the street,26.0,26.0,50.0,NO,Local Road,NONE,CITY ST,663.695164626423,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1955 BKPG 378-245,5,10.0,274.664484928596,"LINESTRING (-76.52185983725249 42.45295582678573, -76.5218604773422 42.45295768082923, -76.52191084701583 42.45307861878436, -76.52198714295575 42.45321260591342, -76.52205419707839 42.453324292329725, -76.52214738347394 42.453476124048805, -76.52224589646255 42.4536279603275, -76.52230624751503 42.45372626468538, -76.52234857886766 42.45377962587988, -76.5224392226037 42.45392716880934, -76.52252611770446 42.4541196441175, -76.5225849813362 42.45432136669862, -76.52261331688865 42.45447865270239, -76.52262276852693 42.454523592148, -76.52265139414978 42.45466647092913)",2.047714481509123,1,0,0,0,1
6,7,OAKWOOD LA,,100,100 Blk Oakwood Lane,CONIFER DR,BROOKFIELD RD,2,Two-way,No sidewalks adjacent to the street,26.0,26.0,50.0,NO,Local Road,NONE,CITY ST,836.745049790505,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,5,12.0,346.379432316932,"LINESTRING (-76.52578644045535 42.45349347931725, -76.52580149832895 42.4535176344934, -76.5258315446703 42.453584708679266, -76.52586781884341 42.45367888385087, -76.5258915961719 42.453764133560675, -76.5259008068344 42.453822450051284, -76.52590737452775 42.45398452650125, -76.52591074227576 42.45410149584544, -76.52590176507255 42.45454740564812, -76.52589825637017 42.45484016511022, -76.52589727530685 42.454898647538386, -76.52589531544808 42.45501578525005, -76.52589266952886 42.45512400433074, -76.52589487460695 42.455245431311475, -76.525879700135 42.45537628283083, -76.52587154504506 42.4554304744709, -76.52585551008417 42.45548912130104, -76.52583137344674 42.45554347687809, -76.5257926377691 42.45560708551677, -76.52571845711824 42.45568010958218, -76.5256734701525 42.455739256795304)",0.0,1,0,0,0,1
7,8,OAKWOOD LA,,100,100 Blk Oakwood Lane,HECTOR ST,CONIFER DR,2,Two-way,No sidewalks adjacent to the street,26.0,26.0,50.0,NO,Local Road,NONE,CITY ST,639.302022425196,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1955 BKPG 382-395,5,13.0,264.51203805668,"LINESTRING (-76.52480641555098 42.45189649334701, -76.52523655373126 42.45259756400947, -76.5252640769735 42.45263771025444, -76.52534801743687 42.452776158174004, -76.5253801602376 42.45282985521445, -76.52542085934212 42.4528967629455, -76.5254534613511 42.45295492024062, -76.52559104796933 42.45318720812736, -76.52573743932292 42.45341487096501, -76.52578644045535 42.45349347931725)",0.0,1,0,0,0,1
8,9,BROOKFIELD RD,,300,300 Blk Brookfield Rd.,CAMPBELL AVE,END PAST OAKWOOD,2,Two-way,No sidewalks adjacent to the street,26.0,26.0,50.0,NO,Local Road,NONE,CITY ST,746.782368672014,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,5,14.0,308.379310550244,"LINESTRING (-76.52418210341315 42.455341473923255, -76.52456972202775 42.45539825748856, -76.5247899478314 42.45543129922363, -76.5248642861796 42.45543922641709, -76.52499119039726 42.45545558454655, -76.52515420883259 42.45548945352785, -76.52523733575711 42.45551093432138, -76.52531119854001 42.45553240946539, -76.52542232879665 42.45557602805031, -76.52551400420396 42.45561980867129, -76.5255760421197 42.455654998115904, -76.52562764890148 42.45569927251556, -76.5256724776553 42.45573839111629, -76.5256734701525 42.455739256795304, -76.52571535476945 42.45577923907776, -76.52576463858182 42.45583260158607, -76.52587128624384 42.45596625829466, -76.5259897442326 42.45610420799567, -76.52605499257284 42.456175415827964, -76.5260978152752 42.45620184905622, -76.52616056184652 42.45622349005496, -76.52623905793402 42.4562449678097, -76.52631038172039 42.456257522759564, -76.52638264004588 42.456261160746664, -76.52646972980558 42.45625537279705)",1.363358954745259,1,0,0,0,1
9,10,SUNRISE RD,,100,100 Blk Sunrise Rd.,CHESTNUT ST,WESTFIELD DR,2,Two-way,No sidewalks adjacent to the street,28.0,28.0,0.0,NO,Local Road,NONE,CITY ST,291.370269699999,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,,5,16.0,120.178965959424,"LINESTRING (-76.51773782298149 42.44364656275038, -76.51806665048662 42.44363766108362, -76.51814075573918 42.443632215065705, -76.51827275214032 42.44362594389176, -76.51845707863879 42.44362347622233, -76.5186217248452 42.443616880108394, -76.51868934753209 42.44361143007612, -76.51875141135068 42.443606148828266, -76.51880835318795 42.44362779062733)",0.5794052752305698,1,0,0,0,1
