OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSEROUTE,OWNTYPE,MGTRESPONB,STATEROUTEYN,DeedyrBkPg,SID,RINNUM,SHAPE__Length
1,CAMPBELL AVE, ,400,400 Blk Campbell Ave.,N TAYLOR PL,END,2,Two-way,No sidewalks adjacent to the street,32,32,60,NO,Local Road,NONE,CITY ST,480.739901851299,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,5,3,198.877833268479
2,WESTMOUNT DR, ,100,100 Blk Westmount Dr.,FALL VIEW TERR,END,2,Two-way,No sidewalks adjacent to the street,21,21,50,NO,Local Road,NONE,CITY ST,678.590630361532,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1955 BKPG 378-245,5,4,280.504961465957
3,BROOKFIELD RD, ,200,200 Blk Brookfield Rd.,FALLVIEW TER,CAMPBELL AVE,2,Two-way,No sidewalks adjacent to the street,26,26,50,NO,Local Road,NONE,CITY ST,483.518700037362,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"1961, June BKPG Unknown",5,5,199.661381926347
4,BROOKFIELD RD, ,100,100 Blk Brookfield Rd.,CLIFF ST,FALLVIEW TERR,2,Two-way,No sidewalks adjacent to the street,26,26,50,NO,Local Road,NONE,CITY ST,317.119293298104,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,"1961, June BKPG Unknown",5,6,130.83859979487
5,WILLIAMS GLEN RD, ,100,100 Blk Williams Glenn Rd.,CLIFF ST,TOWN OF ITHACA LINE,2,Two-way,No sidewalks adjacent to the street,22,22,50,NO,Local Road,NONE,CITY ST,330.665026147376,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,5,9,136.840221243727
6,FALLVIEW TER, ,200,200 Blk Fallview Terrace,WESTMOUNT DR,BROOKFIELD RD,2,Two-way,No sidewalks adjacent to the street,26,26,50,NO,Local Road,NONE,CITY ST,663.695164626423,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1955 BKPG 378-245,5,10,274.664484928596
7,OAKWOOD LA, ,100,100 Blk Oakwood Lane,CONIFER DR,BROOKFIELD RD,2,Two-way,No sidewalks adjacent to the street,26,26,50,NO,Local Road,NONE,CITY ST,836.745049790505,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,5,12,346.379432316932
8,OAKWOOD LA, ,100,100 Blk Oakwood Lane,HECTOR ST,CONIFER DR,2,Two-way,No sidewalks adjacent to the street,26,26,50,NO,Local Road,NONE,CITY ST,639.302022425196,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1955 BKPG 382-395,5,13,264.51203805668
9,BROOKFIELD RD, ,300,300 Blk Brookfield Rd.,CAMPBELL AVE,END PAST OAKWOOD,2,Two-way,No sidewalks adjacent to the street,26,26,50,NO,Local Road,NONE,CITY ST,746.782368672014,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,5,14,308.379310550244
10,SUNRISE RD, ,100,100 Blk Sunrise Rd.,CHESTNUT ST,WESTFIELD DR,2,Two-way,No sidewalks adjacent to the street,28,28,0,NO,Local Road,NONE,CITY ST,291.370269699999,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,,5,16,120.178965959424
