OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSEROUTE,OWNTYPE,MGTRESPONB,STATEROUTEYN,DeedyrBkPg,SID,RINNUM,SHAPE__Length
15,HIGHLAND PL, ,100,100 Blk Highland Pl.,WILLIAMS ST,WILLIAMS ST,1,One-way,Sidewalks adjacent to both sides of the street and north side partial,16,16,25,NO,Local Road,NONE,CITY ST,562.570847438176,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1)1932, 2)1934, 3)1934 BKPG 1)235-444, 2)235-446, 3)235-447",2,21,232.547260400688
16,WILLIAMS ST, ,200,200 Blk Williams St.,HIGHLAND PL WEST END,EDDY ST,2,Two-way,Sidewalks adjacent to both sides of the street,20,20,33,NO,Local Road,NONE,CITY ST,334.546687614301,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,2,22,137.977332295285
17,WILLIAMS ST, ,100,100 Blk Williams St.,HIGHLAND PL,STEWART AVE,2,Two-way,Sidewalks adjacent to both sides of the street,22,22,33,NO,Local Road,NONE,CITY ST,302.901934107818,Asphalt,,NO,CITYST,CITY-ALL,NO,Unknown,2,23,124.925838537967
18,CASCADILLA PL, ,100,100 Blk Cascadilla Pl.,WILLIAMS ST,END,2,Two-way,Sidewalks adjacent to the east side of the street only and partial,0,0,0,NO,NA,NONE,CU,303.948341408646,,,NO,CU,NONE,NO,,0,,125.512198392821
19,EDGEMOOR LA, ,100,100 Blk Edgemoor Lane,STEWART AVE,WEST AVE,1,One-way,Sidewalks adjacent to both sides of the street and north side partial,26,26,50,NO,Local Road,NONE,CITY ST,541.968329327439,Asphalt,,NO,CITYST,CITY-ALL,NO,1923 BKPG 203-240,1,25,223.574959715973
20,SOUTH AVE, ,000,<100 Blk South Ave.,CAMPUS RD,END,1,One-way,Sidewalks adjacent to both sides of the street and south side partial,22,22,50,NO,NA,NONE,CU,437.02342915878,,,NO,CU,NONE,NO,,0,,287.817554333047
21,Maple Dr -CITY CEMETARY, ,,Cemetery Drives,CEMETERY,CEMETERY,0,,No sidewalks adjacent to the street,0,0,0,NO,NA,NONE,CITY OWNED,2916.44221768007,,,NO,CITYFACIL,CITY-ALL,NO,,1,,391.878686217055
23,DEWITT PL,DEWITT PL EXT-WAS PINE DR, ,DeWit Pl.-Cemetery,CASCADILLA PARK RD,STEWART AVE,2,Two-way,No sidewalks adjacent to the street,15,15,0,NO,Local Road,NONE,CITY ST,943.479934407831,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,1,30,389.999347032374
25,CORNELL AVE, ,100,100 Blk Cornell Ave.,UNIVERSITY AVE,STEWART AVE,2,Two-way,Sidewalks adjacent to the north side of the street only,21,21,50,NO,Local Road,NONE,CITY ST,1132.50589763476,Asphalt,,NO,CITYST,CITY-ALL,NO,"1) 1923, 2) 1845 BKPG 1) 235-442, 2) ?",1,33,467.691426506648
30,SCIENCES DR,BAILEY CIRCLE,100,100 Blk Sciences Dr,RESERVOIR AVE,GARDEN  AVE,0,Two-way,Sidewalks adjacent to both sides of the street and partial,0,0,0,NO,NA,NONE,CU,398.098603241298,,,NO,CU,NONE,NO,,0,,240.062099762394
