Station,Road #,Count Location,Municipality,From,To,Year,AADT
8836,CR131A,Adams Rd,T/Newfield,Shaffer Rd,Newfield Depot Rd,2024,681
8613,,Albany St,C/Ithaca,Traffic Circle,Titus Ave S,2024,2272
6015,,Albany St S,C/Ithaca,Titus Ave N,Cascadilla St,2024,1710
8418,,Armstrong Rd,T/Lansing,Asbury Rd,Rt 34B,2024,513
18,20,Aurora St,C/Ithaca,Ithaca C/L,Cayuga  St,2024,10573
2016,90,Benson Rd,T/Lansing,Rt 34B Asbury,Rd,2024,283
8704,,Birchwood Dr,T/Ithaca,Salem Dr,End,2024,286
8828,,Bostwick Rd,T/Enfield,Applegate Rd,S Enfield T/L,2024,1128
8507,,Brooktondale Rd,T/Caroline,Valley Rd,Rt 79,2024,1816
1003,20,Burns Rd,T/Ithaca,Rt 79,Coddington  Rd,2024,2076
2200,CR113,Caroline Depot Rd,T/Caroline,Coddington Rd,Perkins Rd,2024,326
8602,,Cascadilla St,C/Ithaca,Fulton St,Cayuga St,2024,2554
8309,,Cayuga Hgts Rd,V/Lansing,Cedar Ln,Oakcrest Rd,2024,800
6023,,Cayuga St N,C/Ithaca,Cascadilla St,Farm St,2024,5380
6016,200,Cayuga St S,C/Ithaca,Spencer St W,Green St,2024,7724
6123,CR103A,Champlin Rd,T/Groton,Old Stage Rd,Groton City Rd,2024,480
8007,,Cobb Rd,T/Dryden,Rt 34B Groton,T/L,2024,155
2210,,Cobb St,T/Groton,Pleasant Valley Rd,Sovocol Hil Rd,2024,594
8510,,Coddington Rd,T/Ithaca,Danby T/L,King  Rd,2024,1226
6040,CR101,College Ave,C/Ithaca,Mitchell St,Oak Ave,2024,2166
8216,CR128,Comfort Rd,T/Danby,Miller Rd,Jersey Hill Rd,2024,521
2028,,Cornell St,C/Ithaca,State St E,Ithaca Rd,2024,2038
8505,,Ellis Hollow Rd,T/Dryden,Ithaca T/L Thomas,Rd,2024,2320
8802,,Ellis Hollow Rd,T/Dryden,Thomas Rd,Ellis Hollow Creek Rd,2024,1321
1004,400,Ellis Hollow Rd,T/Ithaca,Pine Tree Rd,Dryden T/L,2024,3796
8201,CR105,Fall Creek Rd,T/Dryden,Cady Ln,North Rd,2024,4870
8114,,Farrell Rd,T/Lansing,Warren Rd,Dryden T/L,2024,1452
1212,,Forest Home Dr,C/Ithaca,Thurston Ave,Ithaca C/L,2024,1456
1209,,Forest Home Dr,T/Dryden,Rt 366 Ithaca,T/L,2024,738
1202,CR108,Forest Home Dr,T/Ithaca,Caldwell Rd,Dryden T/L,2024,810
8220,CR173,Game Farm Rd,T/Ith-T/Dry,Stevenson Rd,Rt 366,2024,2013
6019,,Giles St,C/Ithaca,Columbia St,Water St,2024,3161
8603,,Giles St,C/Ithaca,Water St,State St E,2024,2651
